,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
0,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
1,みきおとみきお/みきおとミキオ,ふしこ えふ ふしお/藤子・F・不二雄,－,1977.05.15[1],1977.11.15,－
2,はけるくん/バケルくん,ふしこ えふ ふしお/藤子・F・不二雄,－,1977.05.15[1],1978.09.15,『別冊コロコロコミック』に移動
3,いなかつへたいしよう/いなかっぺ大将,かわさき のほる/川崎のぼる,－,1977.05.15[1],1979.03.15,『別冊コロコロコミック』に移動
4,りとるきよしんくん/リトル巨人くん,うちやま まもる/内山まもる,－,1977.05.15[1],1986.03,第1部は1979.07まで、1984.04より第2部開始
5,ふしこふしおものかたりはむさらたくん/藤子不二雄物語 ハムサラダくん,よした たたし/吉田忠,－,1977.05.15[1],1980.07,－
6,とらえもんひやつか/ドラえもん百科,かたくら ようし/方倉陽二,－,1977.05.15[1],1981.04,－
7,ふしこふしおのまんかにゆうもん/藤子不二雄のまんが入門,かたくら ようし/方倉陽二 →しのだひでお,－,1977.05.15[1],1987.10,－
8,とらえもん/ドラえもん,ふしこ えふ ふしお/藤子・F・不二雄,－,1977.05.15[1],1995.08,2002.03で再開を発表。
9,とつけきいつへいくん/突撃いっぺいくん,ひやくた やすたか/ひゃくた保孝,－,1977.08.15,1978.01.15,－
10,にほんとうふつき/日本動物記,いいもり こういち/飯森広一,－,1977.08.15,1978.09.15,－
11,ほらふきとんひんしやん/ほらふきドンビンシャン,しよおし あきやま/ジョージ秋山,－,1978.01.15,1979.01.15,－
12,かんはれとんへ/がんばれ!ドンベ,はしもと みつお/はしもとみつお,－,1978.01.15,1980.07,－
13,こりほんくん/ゴリポン君,きと たもつ/キド・タモツ,－,1978.01.15,1981.09,－
14,あかんへえ/アカンベー,かたくら ようし/方倉陽二,－,1978.01.15,1983.03,－
15,さむらいくん/サムライくん,ひやくた やすたか/ひゃくた保孝,－,1978.03.15,1978.07.15,－
16,さうるとらまん/ザ・ウルトラマン,うちやま まもる/内山まもる,－,1978.03.15,1978.11.15,－
17,ちやるめらほん/チャルメラ・ボン,みや のふなお/宮のぶなお,－,1978.05.15,1978.07.15,－
18,はあまん/パーマン,ふしこ えふ ふしお/藤子・F・不二雄,－,1978.05.15,1984.11,－
19,おはけのきゆうたろう/オバケのQ太郎,ふしこ ふしお/藤子不二雄,－,1978.07.15,1986.10,－
20,とんまい/どんまい,ろくた のほる/六田登,－,1978.09.15,1979.03.15,－
21,ふるてか/ブルデカ,はまた よしみ/はまだよしみ,－,1978.09.15,1979.06,－
22,にほんほすさるてんいしまつものかたり/日本ボスザル伝 石松物語,いいもり こういち/飯森広一,－,1978.11.15,1979.03.15,－
23,しやあまねくん/ジャーマネくん,みや のふなお/宮のぶなお,－,1978.11.15,1979.06,－
24,ふしこふしおにつき/フジコフジオ日記,たなか みちあき/田中道明,－,1978.11.15,1980.03,－
25,えふわんきつと/F・1キッド,すかや みつる/すがやみつる,－,1979.01.15,1979.09,－
26,けんかはんはん/ケンカばんばん,のむら しんほ/のむらしんぼ,－,1979.01.15,1979.10,－
27,しんうるとらきようたいものかたり/新・ウルトラ兄弟物語,かたおか てつし/かたおか徹治,－,1979.01.15,1979.10,－
28,やきゆうむさし/野球ムサシ,うちやま まもる/内山まもる,－,1979.04,1979.06,－
29,はなとりゆう/花と龍,かわさき のほる/川崎のぼる,－,1979.04,1979.07,－
30,みらくるわん/ミラ・クル・1,ふしこ えふ ふしお/藤子・F・不二雄,－,1979.04,1979.12,－
31,これからとうふつえん/これから動物園,いいもり こういち/飯森広一,－,1979.04,1980.03,－
32,おしやまゆうれいくん/おじゃまユーレイくん,よしかわ すすむ/よしかわ進,－,1979.05,1981.10,－
33,めいたんていかけまん/名たんていカゲマン,やまね あおおに/山根あおおに,－,1979.06,1981.08,－
34,けえむせんたああらし/ゲームセンターあらし,すかや みつる/すがやみつる,－,1979.08,1983.10,－
35,とらえもんととらみちやん/ドラえもんとドラミちゃん,ふしこ えふ ふしお/藤子・F・不二雄,－,1979.09,1979.10,－
36,もえろくろはん/燃えろ!クロパン,うちやま まもる/内山まもる,－,1979.09,1981.03,－
37,あさりちやん/あさりちゃん,むろやま まゆみ/室山まゆみ,－,1979.09,1982.03,－
38,とらみちやんひみつふつく/ドラミちゃん ひみつBOOK,かたくら ようし/方倉陽二,－,1979.10,1979.12,－
39,さこりら/ザ・ゴリラ,さかおか のほる/坂丘のぼる,－,1979.10,1982.12,－
40,そふいいのてんせつ/ゾフィーの伝説,かたおか てつし/かたおか徹治,－,1979.12,1980.01,－
41,きんめたるりきし/金メダル力士,かつき かすよし/勝木一嘉,－,1979.12,1980.01,－
42,とらえもんのひたのきようりゆう/ドラえもん のび太の恐竜,ふしこ ふしお/藤子不二雄,－,1980.01,1980.03,－
43,とんてけえあろ/飛んでけ!エアロ,たなか てつお/田仲哲雄,－,1980.01,1980.07,－
44,うるとらきようたいものかたり/ウルトラ大戦争,かたおか てつし/かたおか徹治,－,1980.02,1980.04,－
45,りんくまん/リングマン,はまた よしみ/はまだよしみ,－,1980.02,1980.04,－
46,ちひとん/チビドン,あかつか ふしお/赤塚不二夫,－,1980.02,1981.03,－
47,ととろけいちはん/とどろけ!一番,のむら しんほ/のむらしんぼ,－,1980.02,1983.05,－
48,うしおやし/ウシおやじ,ふくなか ひろ/福永ヒロ,－,1980.03,1980.05,－
49,かいふつくん/怪物くん,ふしこ ふしお/藤子不二雄,－,1980.04,1982.12,－
50,うるとらまん80/ウルトラマン80,かたおか てつし/かたおか徹治,－,1980.05,1980.10,－
